Comment,Designator,Footprint,LCSC,Quantity
PG151101S11,S16,Kailh_socket_MX,,1
PG151101S11,S14,Kailh_socket_MX,,1
PG151101S11,S10,Kailh_socket_MX,,1
PG151101S11,S4,Kailh_socket_MX,,1
Conn_01x09_Socket,J1,oled_rotary,,1
WS2812B-4020,D13,WS2812B-4020,,1
PG151101S11,S15,Kailh_socket_MX,,1
PG151101S11,S12,Kailh_socket_MX,,1
WS2812B-4020,D7,WS2812B-4020,,1
PG151101S11,S7,Kailh_socket_MX,,1
WS2812B-4020,D10,WS2812B-4020,,1
PG151101S11,S11,Kailh_socket_MX,,1
WS2812B-4020,D15,WS2812B-4020,,1
PG151101S11,S8,Kailh_socket_MX,,1
Conn_01x02_Socket,J2,PinHeader_1x02_P2.54mm_Vertical,,1
PG151101S11,S6,Kailh_socket_MX,,1
PG151101S11,S9,Kailh_socket_MX,,1
WS2812B-4020,D11,WS2812B-4020,,1
WS2812B-4020,D2,WS2812B-4020,,1
PG151101S11,S2,Kailh_socket_MX,,1
ESP32-DEVKIT-V1,U1,MODULE_ESP32_DEVKIT_V1,,1
WS2812B-4020,D14,WS2812B-4020,,1
WS2812B-4020,D3,WS2812B-4020,,1
PG151101S11,S13,Kailh_socket_MX,,1
PG151101S11,S5,Kailh_socket_MX,,1
WS2812B-4020,D6,WS2812B-4020,,1
WS2812B-4020,D5,WS2812B-4020,,1
PG151101S11,S1,Kailh_socket_MX,,1
WS2812B-4020,D4,WS2812B-4020,,1
WS2812B-4020,D1,WS2812B-4020,,1
WS2812B-4020,D16,WS2812B-4020,,1
WS2812B-4020,D12,WS2812B-4020,,1
WS2812B-4020,D9,WS2812B-4020,,1
PG151101S11,S3,Kailh_socket_MX,,1
WS2812B-4020,D8,WS2812B-4020,,1
